City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,margaret river,-33.95,115.0667,14.69,71,27,4.99,AU,1715116466
84,mossel bay,-34.1831,22.146,15.96,89,84,4.04,ZA,1715116466
85,quellon,-43.1167,-73.6167,7.32,75,75,1.39,CL,1715116467
86,daru,-9.0763,143.2092,26.5,88,98,6.78,PG,1715116467
87,afaahiti,-17.75,-149.2833,27.93,77,87,6.76,PF,1715116467
88,carnarvon,-24.8667,113.6333,19.81,44,99,5.11,AU,1715116467
89,firuzabad,28.8438,52.5707,20.74,58,0,1.59,IR,1715116467
90,filipstad,59.7124,14.1683,6.84,71,100,0.98,SE,1715116467
91,port lincoln,-34.7333,135.8667,14.94,87,81,4.88,AU,1715116467
92,brookings,44.3114,-96.7984,16.32,51,100,11.32,US,1715116405
93,malango,-2.9627,119.9001,19.16,99,100,0.72,ID,1715116468
94,las khorey,11.1595,48.1967,30.5,76,16,2.63,SO,1715116468
95,ilulissat,69.2167,-51.1,-3.99,74,75,2.06,GL,1715116468
96,kavieng,-2.5744,150.7967,28.3,81,100,7.01,PG,1715116468
97,ormara,25.2088,64.6357,27.37,80,0,2.95,PK,1715116468
98,yuzhno-kurilsk,44.0306,145.8556,2.99,95,100,9.68,RU,1715116468
99,fisterra,42.9049,-9.2629,14.3,75,100,6.57,ES,1715116468
100,polyarnyy,69.1989,33.4478,-5.93,73,86,3.4,RU,1715116468
101,geraldton,-28.7667,114.6,18.23,48,88,4.63,AU,1715116469
102,idri,27.5,13.2667,32.48,17,100,8.9,LY,1715116469
103,sao vicente,-23.9631,-46.3919,32.93,47,20,3.13,BR,1715116469
104,filey,54.21,-0.2892,8.21,92,100,0.45,GB,1715116469
105,utrik,11.2278,169.8474,28.15,71,100,7.92,MH,1715116469
106,bredasdorp,-34.5322,20.0403,15.99,83,100,1.95,ZA,1715116469
107,abepura,-2.6333,140.5833,25.45,94,40,1.03,ID,1715116469
108,valle de la pascua,9.2155,-66.0073,37.01,29,94,2.94,VE,1715116469
109,bandar lampung,-5.4254,105.258,23.42,97,7,0.36,ID,1715116469
110,katsuren-haebaru,26.3369,127.8719,22.01,93,0,1.54,JP,1715116416
111,chesapeake beach,38.6862,-76.5347,27.32,79,46,1.38,US,1715116470
112,whitehorse,60.7161,-135.0538,8.78,42,75,7.2,CA,1715116470
113,yemva,62.59,50.8594,-3.33,73,6,1.98,RU,1715116470
114,selfoss,63.9331,-20.9971,4.47,68,58,8.03,IS,1715116470
115,anadyr,64.75,177.4833,-6.72,67,40,3.0,RU,1715116471
116,udachny,66.4167,112.4,-0.31,98,95,8.01,RU,1715116471
117,kasulu,-4.5767,30.1025,18.53,90,100,1.57,TZ,1715116471
118,edinburgh of the seven seas,-37.0676,-12.3116,16.51,78,100,18.27,SH,1715116471
119,lubny,50.0163,32.9969,5.28,71,51,7.43,UA,1715116471
120,prince rupert,54.3161,-130.3201,10.05,74,100,10.29,CA,1715116471
121,chibuto,-24.6867,33.5306,18.47,88,0,2.77,MZ,1715116471
122,wotje,9.4543,170.2367,27.74,83,69,9.37,MH,1715116471
123,howrah,22.5892,88.3103,23.0,88,100,3.09,IN,1715116404
124,saipan,15.1355,145.701,28.39,74,40,3.6,MP,1715116282
125,queenstown,-31.8976,26.8753,15.69,35,0,2.43,ZA,1715116472
126,chukhloma,58.7525,42.6825,2.27,68,100,4.47,RU,1715116472
127,vilyuchinsk,52.9306,158.4028,1.63,84,100,2.57,RU,1715116472
128,tralee,52.2704,-9.7026,10.71,87,100,1.18,IE,1715116472
129,dera bugti,29.0307,69.151,31.34,14,0,1.8,PK,1715116472
130,papatowai,-46.5619,169.4708,10.35,80,99,6.8,NZ,1715116472
131,katiola,8.1333,-5.1,28.35,77,33,2.22,CI,1715116472
132,metkovic,43.0542,17.6483,17.26,78,100,1.57,HR,1715116473
133,mount pearl,47.5166,-52.7813,8.31,93,75,1.54,CA,1715116473
134,maintirano,-18.0667,44.0167,24.98,73,15,3.67,MG,1715116473
135,san patricio,28.017,-97.5169,32.4,65,90,5.51,US,1715116473
136,raton,36.9034,-104.4391,22.34,9,0,10.8,US,1715116473
137,dubbo,-32.25,148.6167,9.07,93,0,4.63,AU,1715116473
138,wailua homesteads,22.0669,-159.378,27.24,75,40,6.69,US,1715116473
139,al jawf,29.5,38.75,19.48,28,0,2.92,SA,1715116473
140,vorgashor,67.5833,63.95,-15.67,97,76,2.41,RU,1715116375
141,villa gesell,-37.2639,-56.973,16.7,96,100,8.23,AR,1715116474
142,paredon,16.0333,-93.8667,32.12,56,9,4.97,MX,1715116474
143,praia da vitoria,38.7333,-27.0667,19.31,95,35,8.1,PT,1715116249
144,tamazulapam villa del progreso,17.6806,-97.5689,32.59,16,73,4.25,MX,1715116474
145,colonia,50.9333,6.95,15.46,85,70,2.06,DE,1715116193
146,suzzara,44.9919,10.7431,15.15,96,54,2.18,IT,1715116474
147,junin de los andes,-39.9504,-71.0694,4.86,73,5,5.46,AR,1715116474
148,aguada de pasajeros,22.385,-80.8508,31.76,50,65,5.09,CU,1715116474
149,aasiaat,68.7098,-52.8699,-4.11,93,100,2.45,GL,1715116474
150,morristown,36.214,-83.2949,27.48,69,0,4.63,US,1715116475
151,georgetown,5.4112,100.3354,26.97,90,20,1.54,MY,1715116475
